h1,h2,h3,h4,h5,h6,url
"Syema,Sheikh,MD","Dr. Sheikh
is on Doximity,Education & Training,Certifications & Licensure,Hospital Affiliations,Viewing the full profile is available to verified healthcare professionals only.",No data,No data,No data,No data,https://www.doximity.com/pub/syema-sheikh-md
"Manisha,Kak,MD","Dr. Kak
is on Doximity,Education & Training,Certifications & Licensure,Publications & Presentations,Hospital Affiliations,Viewing the full profile is available to verified healthcare professionals only.",No data,No data,No data,No data,https://www.doximity.com/pub/manisha-kak-md
"Anjali,Gera,MD","Dr. Gera
is on Doximity,Education & Training,Certifications & Licensure,Publications & Presentations,Hospital Affiliations,Viewing the full profile is available to verified healthcare professionals only.",No data,No data,No data,No data,https://www.doximity.com/pub/anjali-gera-md
404: Page not found,404,404,404,404,404,https://neurology.uchicago.edu/page/pgy-iv-residents
Oops!,No data,No data,No data,No data,No data,https://neurology.uchicago.edu/page/pgy-iv-residents
404: Page not found,404,404,404,404,404,https://neurology.uchicago.edu/page/residents-fellows
Oops!,No data,No data,No data,No data,No data,https://neurology.uchicago.edu/page/residents-fellows
404: Page not found,404,404,404,404,404,https://neurology.uchicago.edu/page/pgy-iv-residents
Oops!,No data,No data,No data,No data,No data,https://neurology.uchicago.edu/page/pgy-iv-residents
404: Page not found,404,404,404,404,404,https://psychiatry.uchicago.edu/directory/shoaib-memon-md
Oops!,No data,No data,No data,No data,No data,https://psychiatry.uchicago.edu/directory/shoaib-memon-md
Psychiatry Graduates,You may also like …,"Lucas Coppes, MD, MS,Martin Greenwald, MD,Shivani Kumar, MD,Jessica Stier, MD,D. Ashkawn Ehsan, MD,Michel Medina, MD,Lauren Robinson, MD, MPH,Kristina Thurin, MD,Louisa Olushoga, MD,Cheriece Ward, MD,Bianca Pullen, MD,Derrick Farmer, MD,Larry Gaines, MD,Jorel Martinez, MD,Yusuf Salah, MD,Amanda Wachtel, MD,Kathryn Weaver, MD,Kavita Jayaswal, MD,Keely Elgethun, MD,Paige Marnell, MD,Joan Roig Llesuy, MD,Carolyn Shima, MD,Julie Land, MD,Vijay Gorrepati, MD,Jonathan Kolakowski, MD,Mark Neahring, MD,Nick Reid, MD,Phillipe Gerard Tapon, MD,Yana Yanovskaya, MD,Richard Clarey, M.D.,Michael Garland, M.D.,Anna Piotrowski, M.D.,Catherine Rockwood, M.D.,Amy Yang, M.D.,Elizabeth Erickson, D.O.,Andrea Mann, D.O.,Austin Osborn, M.D.,Nirali Patel, M.D,Maxwell Rovner, M.D., J.D.,Danijela Stojanac, M.D.,Joao Busnello, MD, PhD,Deborah Guris, MD, PhD,Jonathan Kirscher, M.D.,Veronica Makhija, MD,Albert Nguyen, DO, MPH,Luciana Ribeiro, MD,Sara Coffey, D.O.,Rakesh John, MD,Shoiab Memon, MD,Andrei Pankov, MD,Elena Tuskenis, MD,Xiaohong Yu, MD,Dawit Amare, DO, MPH,Sanjiwan Boparai, MD,Thomas Cantey, MD,Madhukar Kumar, MD,Abdullah Sallaj, MD,Marie Truong, DO,Joseph Cooper, MD,Robert Marseille, MD,Sibyl Simon, MD,Marcela Almeida, MD,Susan Buratto, MD,Berdine Chong, MD,Nicholas Patniyot, MD,Theodote Pontikes, MD",No data,No data,No data,https://psychiatry.uchicago.edu/people/psychiatry-graduates
Psychiatry Graduates,You may also like …,"Lucas Coppes, MD, MS,Martin Greenwald, MD,Shivani Kumar, MD,Jessica Stier, MD,D. Ashkawn Ehsan, MD,Michel Medina, MD,Lauren Robinson, MD, MPH,Kristina Thurin, MD,Louisa Olushoga, MD,Cheriece Ward, MD,Bianca Pullen, MD,Derrick Farmer, MD,Larry Gaines, MD,Jorel Martinez, MD,Yusuf Salah, MD,Amanda Wachtel, MD,Kathryn Weaver, MD,Kavita Jayaswal, MD,Keely Elgethun, MD,Paige Marnell, MD,Joan Roig Llesuy, MD,Carolyn Shima, MD,Julie Land, MD,Vijay Gorrepati, MD,Jonathan Kolakowski, MD,Mark Neahring, MD,Nick Reid, MD,Phillipe Gerard Tapon, MD,Yana Yanovskaya, MD,Richard Clarey, M.D.,Michael Garland, M.D.,Anna Piotrowski, M.D.,Catherine Rockwood, M.D.,Amy Yang, M.D.,Elizabeth Erickson, D.O.,Andrea Mann, D.O.,Austin Osborn, M.D.,Nirali Patel, M.D,Maxwell Rovner, M.D., J.D.,Danijela Stojanac, M.D.,Joao Busnello, MD, PhD,Deborah Guris, MD, PhD,Jonathan Kirscher, M.D.,Veronica Makhija, MD,Albert Nguyen, DO, MPH,Luciana Ribeiro, MD,Sara Coffey, D.O.,Rakesh John, MD,Shoiab Memon, MD,Andrei Pankov, MD,Elena Tuskenis, MD,Xiaohong Yu, MD,Dawit Amare, DO, MPH,Sanjiwan Boparai, MD,Thomas Cantey, MD,Madhukar Kumar, MD,Abdullah Sallaj, MD,Marie Truong, DO,Joseph Cooper, MD,Robert Marseille, MD,Sibyl Simon, MD,Marcela Almeida, MD,Susan Buratto, MD,Berdine Chong, MD,Nicholas Patniyot, MD,Theodote Pontikes, MD",No data,No data,No data,https://psychiatry.uchicago.edu/people/psychiatry-graduates
Psychiatry Graduates,You may also like …,"Lucas Coppes, MD, MS,Martin Greenwald, MD,Shivani Kumar, MD,Jessica Stier, MD,D. Ashkawn Ehsan, MD,Michel Medina, MD,Lauren Robinson, MD, MPH,Kristina Thurin, MD,Louisa Olushoga, MD,Cheriece Ward, MD,Bianca Pullen, MD,Derrick Farmer, MD,Larry Gaines, MD,Jorel Martinez, MD,Yusuf Salah, MD,Amanda Wachtel, MD,Kathryn Weaver, MD,Kavita Jayaswal, MD,Keely Elgethun, MD,Paige Marnell, MD,Joan Roig Llesuy, MD,Carolyn Shima, MD,Julie Land, MD,Vijay Gorrepati, MD,Jonathan Kolakowski, MD,Mark Neahring, MD,Nick Reid, MD,Phillipe Gerard Tapon, MD,Yana Yanovskaya, MD,Richard Clarey, M.D.,Michael Garland, M.D.,Anna Piotrowski, M.D.,Catherine Rockwood, M.D.,Amy Yang, M.D.,Elizabeth Erickson, D.O.,Andrea Mann, D.O.,Austin Osborn, M.D.,Nirali Patel, M.D,Maxwell Rovner, M.D., J.D.,Danijela Stojanac, M.D.,Joao Busnello, MD, PhD,Deborah Guris, MD, PhD,Jonathan Kirscher, M.D.,Veronica Makhija, MD,Albert Nguyen, DO, MPH,Luciana Ribeiro, MD,Sara Coffey, D.O.,Rakesh John, MD,Shoiab Memon, MD,Andrei Pankov, MD,Elena Tuskenis, MD,Xiaohong Yu, MD,Dawit Amare, DO, MPH,Sanjiwan Boparai, MD,Thomas Cantey, MD,Madhukar Kumar, MD,Abdullah Sallaj, MD,Marie Truong, DO,Joseph Cooper, MD,Robert Marseille, MD,Sibyl Simon, MD,Marcela Almeida, MD,Susan Buratto, MD,Berdine Chong, MD,Nicholas Patniyot, MD,Theodote Pontikes, MD",No data,No data,No data,https://psychiatry.uchicago.edu/people/psychiatry-graduates
Vijay Gorrepati,About Vijay Gorrepati,No data,"Favourites,Photos,Wrong,Vijay Gorrepati,? Try Again,Others named Vijay Gorrepati,Others with a similar name",No data,No data,https://www.facebook.com/vijay.gorrepati.7/about?lst=100001539709231%3A100012987420415%3A1482139468&section=education&pnref=about
404: Page not found,404,404,404,404,404,https://psychiatry.uchicago.edu/directory/nirali-patel-md
Oops!,No data,No data,No data,No data,No data,https://psychiatry.uchicago.edu/directory/nirali-patel-md
Raghu Betina,"Biography,Academic Areas,2020 - 2021 Course Schedule,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/b/raghu-betina
Lil Mohan,"Biography,Academic Areas,2020 - 2021 Course Schedule,Explore,Other Offerings,,Global Locations,,Follow",No data,No data,No data,No data,https://www.chicagobooth.edu/faculty/directory/m/lil-mohan
